word,D1..D7,positions_1..11,positions_1..12
0,0000000,00000000000,000000000000
1,0000001,11000001001,110000010010
2,0000010,01000001010,010000010101
3,0000011,10000000011,100000000111
4,0000100,10000001100,100000011001
5,0000101,01000000101,010000001011
6,0000110,11000000110,110000001100
7,0000111,00000001111,000000011110
8,0001000,11010010000,110100100000
9,0001001,00010011001,000100110010
10,0001010,10010011010,100100110101
11,0001011,01010010011,010100100111
12,0001100,01010011100,010100111001
13,0001101,10010010101,100100101011
14,0001110,00010010110,000100101100
15,0001111,11010011111,110100111110
16,0010000,01010100000,010101000001
17,0010001,10010101001,100101010011
18,0010010,00010101010,000101010100
19,0010011,11010100011,110101000110
20,0010100,11010101100,110101011000
21,0010101,00010100101,000101001010
22,0010110,10010100110,100101001101
23,0010111,01010101111,010101011111
24,0011000,10000110000,100001100001
25,0011001,01000111001,010001110011
26,0011010,11000111010,110001110100
27,0011011,00000110011,000001100110
28,0011100,00000111100,000001111000
29,0011101,11000110101,110001101010
30,0011110,01000110110,010001101101
31,0011111,10000111111,100001111111
32,0100000,10011000000,100110000001
33,0100001,01011001001,010110010011
34,0100010,11011001010,110110010100
35,0100011,00011000011,000110000110
36,0100100,00011001100,000110011000
37,0100101,11011000101,110110001010
38,0100110,01011000110,010110001101
39,0100111,10011001111,100110011111
40,0101000,01001010000,010010100001
41,0101001,10001011001,100010110011
42,0101010,00001011010,000010110100
43,0101011,11001010011,110010100110
44,0101100,11001011100,110010111000
45,0101101,00001010101,000010101010
46,0101110,10001010110,100010101101
47,0101111,01001011111,010010111111
48,0110000,11001100000,110011000000
49,0110001,00001101001,000011010010
50,0110010,10001101010,100011010101
51,0110011,01001100011,010011000111
52,0110100,01001101100,010011011001
53,0110101,10001100101,100011001011
54,0110110,00001100110,000011001100
55,0110111,11001101111,110011011110
56,0111000,00011110000,000111100000
57,0111001,11011111001,110111110010
58,0111010,01011111010,010111110101
59,0111011,10011110011,100111100111
60,0111100,10011111100,100111111001
61,0111101,01011110101,010111101011
62,0111110,11011110110,110111101100
63,0111111,00011111111,000111111110
64,1000000,11100000000,111000000001
65,1000001,00100001001,001000010011
66,1000010,10100001010,101000010100
67,1000011,01100000011,011000000110
68,1000100,01100001100,011000011000
69,1000101,10100000101,101000001010
70,1000110,00100000110,001000001101
71,1000111,11100001111,111000011111
72,1001000,00110010000,001100100001
73,1001001,11110011001,111100110011
74,1001010,01110011010,011100110100
75,1001011,10110010011,101100100110
76,1001100,10110011100,101100111000
77,1001101,01110010101,011100101010
78,1001110,11110010110,111100101101
79,1001111,00110011111,001100111111
80,1010000,10110100000,101101000000
81,1010001,01110101001,011101010010
82,1010010,11110101010,111101010101
83,1010011,00110100011,001101000111
84,1010100,00110101100,001101011001
85,1010101,11110100101,111101001011
86,1010110,01110100110,011101001100
87,1010111,10110101111,101101011110
88,1011000,01100110000,011001100000
89,1011001,10100111001,101001110010
90,1011010,00100111010,001001110101
91,1011011,11100110011,111001100111
92,1011100,11100111100,111001111001
93,1011101,00100110101,001001101011
94,1011110,10100110110,101001101100
95,1011111,01100111111,011001111110
96,1100000,01111000000,011110000000
97,1100001,10111001001,101110010010
98,1100010,00111001010,001110010101
99,1100011,11111000011,111110000111
100,1100100,11111001100,111110011001
101,1100101,00111000101,001110001011
102,1100110,10111000110,101110001100
103,1100111,01111001111,011110011110
104,1101000,10101010000,101010100000
105,1101001,01101011001,011010110010
106,1101010,11101011010,111010110101
107,1101011,00101010011,001010100111
108,1101100,00101011100,001010111001
109,1101101,11101010101,111010101011
110,1101110,01101010110,011010101100
111,1101111,10101011111,101010111110
112,1110000,00101100000,001011000001
113,1110001,11101101001,111011010011
114,1110010,01101101010,011011010100
115,1110011,10101100011,101011000110
116,1110100,10101101100,101011011000
117,1110101,01101100101,011011001010
118,1110110,11101100110,111011001101
119,1110111,00101101111,001011011111
120,1111000,11111110000,111111100001
121,1111001,00111111001,001111110011
122,1111010,10111111010,101111110100
123,1111011,01111110011,011111100110
124,1111100,01111111100,011111111000
125,1111101,10111110101,101111101010
126,1111110,00111110110,001111101101
127,1111111,11111111111,111111111111
