word,data_d1_to_d7,expected_codeword,memristor_codeword,functional_pass,energy_j,latency_s,xor_ops,pulses,array_memristors_min,selected_memristors_per_xor
0,0000000,000000000000,000000000000,True,4.5319999999999996e-14,4.2e-08,22,88,14,3
1,1000000,111000000001,111000000001,True,1.7996000000000001e-12,4.2e-08,22,88,14,3
2,0100000,100110000001,100110000001,True,1.4907200000000001e-12,4.2e-08,22,88,14,3
3,1100000,011110000000,011110000000,True,7.7792e-13,4.2e-08,22,88,14,3
4,0010000,010101000001,010101000001,True,1.4907200000000001e-12,4.2e-08,22,88,14,3
5,1010000,101101000000,101101000000,True,9.8384e-13,4.2e-08,22,88,14,3
6,0110000,110011000000,110011000000,True,1.0868000000000002e-12,4.2e-08,22,88,14,3
7,1110000,001011000001,001011000001,True,9.878e-13,4.2e-08,22,88,14,3
8,0001000,110100100000,110100100000,True,1.2887600000000003e-12,4.2e-08,22,88,14,3
9,1001000,001100100001,001100100001,True,7.779200000000001e-13,4.2e-08,22,88,14,3
10,0101000,010010100001,010010100001,True,1.0868000000000002e-12,4.2e-08,22,88,14,3
11,1101000,101010100000,101010100000,True,9.917600000000002e-13,4.2e-08,22,88,14,3
12,0011000,100001100001,100001100001,True,1.0868000000000002e-12,4.2e-08,22,88,14,3
13,1011000,011001100000,011001100000,True,1.1976800000000002e-12,4.2e-08,22,88,14,3
14,0111000,000111100000,000111100000,True,1.09472e-12,4.2e-08,22,88,14,3
15,1111000,111111100001,111111100001,True,1.2016400000000001e-12,4.2e-08,22,88,14,3
16,0000100,100000011001,100000011001,True,8.729600000000001e-13,4.2e-08,22,88,14,3
17,1000100,011000011000,011000011000,True,1.39568e-12,4.2e-08,22,88,14,3
18,0100100,000110011000,000110011000,True,1.0868000000000002e-12,4.2e-08,22,88,14,3
19,1100100,111110011001,111110011001,True,1.60556e-12,4.2e-08,22,88,14,3
20,0010100,110101011000,110101011000,True,1.4986400000000002e-12,4.2e-08,22,88,14,3
