experiment_id,level,architecture,pavg,tplh,tphl,tpd,pdp,voh,vol,output_swing,transistor_count,energy_per_operation,energy_per_encoded_bit,functional_pass
EXP-XOR-CMOS-NOM,XOR,CMOS,2.19716694712e-06,1.05850162093e-10,8.18024119053e-11,9.382628699915e-11,2.0615201656552737e-16,1.19988834858,0.000113320857054,1.199775027722946,12,,,True
EXP-XOR-GDI-NOM,XOR,GDI,7.36205223341e-07,8.03033167187e-11,8.63281953212e-11,8.331575601995e-11,6.133749476849156e-17,0.836819887161,0.351533472538,0.485286414623,4,,,False
EXP-XOR-FSGDI-NOM,XOR,FSGDI,2.43832158228e-07,2.83928883341e-11,2.5950230691e-11,2.7171559512549997e-11,6.62529999836561e-18,1.19994497299,2.2123389499e-05,1.199922849600501,6,,,True
EXP-XOR-HYBRID_A-NOM,XOR,HYBRID_A,2.14560936685e-06,6.20795899611e-11,6.00194261006e-11,6.104950803085e-11,1.3098839627257604e-16,1.20612418652,-0.00363928754814,1.20976347406814,10,,,True
EXP-H117-CMOS-NOM,H117,CMOS,1.20804766196e-05,1.8440074693e-10,1.43697205086e-10,1.64048976008e-10,1.981789819133965e-15,1.20544409752,-0.0022561927326,1.2077002902526,144,9.66438129568e-14,8.78580117789091e-15,True
EXP-H117-GDI-NOM,H117,GDI,7.75601295359e-07,1.60799189018e-08,1.60996611775e-08,1.608979003965e-08,1.2479261996806875e-14,1.20246875286,-0.0018589454703,1.2043276983303,48,6.2048103628719995e-15,5.640736693519999e-16,False
EXP-H117-FSGDI-NOM,H117,FSGDI,5.02859698179e-07,1.52858441437e-10,1.25866914904e-10,1.393626781705e-10,7.007987428223473e-17,1.20271229744,-0.0025660651736,1.2052783626135999,72,4.022877585432e-15,3.657161441301818e-16,True
EXP-EH127-CMOS-NOM,EH127,CMOS,2.70237088733e-05,3.7352576529e-10,3.16368210469e-10,3.4494698787950003e-10,9.321746977177353e-15,1.20448255539,-0.00193992455024,1.20642247994024,264,2.161896709864e-13,1.8015805915533333e-14,True
EXP-EH127-FSGDI-NOM,EH127,FSGDI,2.55015272972e-06,4.92702140456e-10,3.65421980941e-10,4.290620606985e-10,1.094173785309568e-15,1.20748758316,-0.00599587708712,1.21348346024712,132,2.0401221837760002e-14,1.7001018198133334e-15,True
EXP-EH127-HYBRID_A-NOM,EH127,HYBRID_A,2.58367460822e-05,2.95178489916e-10,2.62388332395e-10,2.787834111555e-10,7.202856205954217e-15,1.20271015167,-0.00122912006918,1.2039392717391801,220,2.066939686576e-13,1.7224497388133332e-14,True
EXP-EH127-HYBRID_B-NOM,EH127,HYBRID_B,1.12029206408e-05,2.24755702875e-10,2.06937039854e-10,2.158463713645e-10,2.418109769001139e-15,1.20272493362,-0.00145443284418,1.20417936646418,152,8.96233651264e-14,7.468613760533334e-15,True
