architecture,energy_per_encoded_bit,energy_per_operation,experiment_id,frequency_hz,functional_failure_reasons,functional_pass,input_pattern,level,load_ff,model,output_swing,pavg,pdp,raw_log,simulation_file,status,temp,temperature_c,tfall,tnom,tpd,tphl,tplh,transistor_count,trise,validation_errors,vdd,voh,vol
CMOS,,,EXP-XOR-CMOS-NOM,125000000.0,[],True,two-input exhaustive periodic,XOR,10.0,PTM-65nm-beta-2006,1.199775027722946,2.19716694712e-06,2.0615201656552737e-16,ltspice/xor/cmos/EXP-XOR-CMOS-NOM.log,ltspice/xor/cmos/EXP-XOR-CMOS-NOM.cir,Validated,27.0,27.0,1.5306455698e-10,27.0,9.382628699915e-11,8.18024119053e-11,1.05850162093e-10,12,2.26788415266e-10,[],1.2,1.19988834858,0.000113320857054
CMOS,,,EXP-XOR-CMOS-VDD06,125000000.0,[],True,two-input exhaustive periodic,XOR,10.0,PTM-65nm-beta-2006,0.5998807131907634,5.2935766241e-07,1.5315334706699203e-16,ltspice/xor/cmos/EXP-XOR-CMOS-VDD06.log,ltspice/xor/cmos/EXP-XOR-CMOS-VDD06.cir,Validated,27.0,27.0,3.80585502499e-10,27.0,2.8931922203549997e-10,2.21605985695e-10,3.57032458376e-10,12,7.07372710221e-10,[],0.6,0.599925637245,4.49240542366e-05
CMOS,,,EXP-XOR-CMOS-VDD08,125000000.0,[],True,two-input exhaustive periodic,XOR,10.0,PTM-65nm-beta-2006,0.7998932970588974,9.469887951e-07,1.4551233994994744e-16,ltspice/xor/cmos/EXP-XOR-CMOS-VDD08.log,ltspice/xor/cmos/EXP-XOR-CMOS-VDD08.cir,Validated,27.0,27.0,2.17029066077e-10,27.0,1.536579320715e-10,1.23304009895e-10,1.84011854248e-10,12,3.76637531755e-10,[],0.8,0.799937129021,4.38319621026e-05
CMOS,,,EXP-XOR-CMOS-VDD10,125000000.0,[],True,two-input exhaustive periodic,XOR,10.0,PTM-65nm-beta-2006,0.9998593243439657,1.49649591628e-06,1.6884638799549816e-16,ltspice/xor/cmos/EXP-XOR-CMOS-VDD10.log,ltspice/xor/cmos/EXP-XOR-CMOS-VDD10.cir,Validated,27.0,27.0,1.72605529491e-10,27.0,1.1282783077365001e-10,9.48697331043e-11,1.30785928443e-10,12,2.74688840241e-10,[],1.0,0.999923050404,6.37260600342e-05
CMOS,,,EXP-XOR-CMOS-TM20,125000000.0,[],True,two-input exhaustive periodic,XOR,10.0,PTM-65nm-beta-2006,1.1999271322368827,2.17162019971e-06,1.5271548533262729e-16,ltspice/xor/cmos/EXP-XOR-CMOS-TM20.log,ltspice/xor/cmos/EXP-XOR-CMOS-TM20.cir,Validated,-20.0,-20.0,1.2930062429e-10,27.0,7.032329380295e-11,7.08629988081e-11,6.97835887978e-11,12,1.36885513604e-10,[],1.2,1.19997525215,4.81199131173e-05
CMOS,,,EXP-XOR-CMOS-T85,125000000.0,[],True,two-input exhaustive periodic,XOR,10.0,PTM-65nm-beta-2006,1.199209730230413,2.26349642639e-06,3.0129995584103803e-16,ltspice/xor/cmos/EXP-XOR-CMOS-T85.log,ltspice/xor/cmos/EXP-XOR-CMOS-T85.cir,Validated,85.0,85.0,1.95346788136e-10,27.0,1.3311262714099998e-10,1.01357771138e-10,1.64867483144e-10,12,3.75019664643e-10,[],1.2,1.19950437546,0.000294645229587
CMOS,,,EXP-XOR-CMOS-L01,125000000.0,[],True,two-input exhaustive periodic,XOR,1.0,PTM-65nm-beta-2006,1.199776638150577,6.06796212243e-07,1.3818248621880954e-17,ltspice/xor/cmos/EXP-XOR-CMOS-L01.log,ltspice/xor/cmos/EXP-XOR-CMOS-L01.cir,Validated,27.0,27.0,3.08049347463e-11,27.0,2.2772470135899998e-11,2.09905367871e-11,2.45544034847e-11,12,4.03606232211e-11,[],1.2,1.19988894463,0.000112306479423
CMOS,,,EXP-XOR-CMOS-L05,125000000.0,[],True,two-input exhaustive periodic,XOR,5.0,PTM-65nm-beta-2006,1.199775595059886,1.30535636e-06,7.062929160893132e-17,ltspice/xor/cmos/EXP-XOR-CMOS-L05.log,ltspice/xor/cmos/EXP-XOR-CMOS-L05.cir,Validated,27.0,27.0,8.41335014257e-11,27.0,5.41072873073e-11,4.79024260302e-11,6.03121485844e-11,12,1.22892136349e-10,[],1.2,1.199888587,0.000112991940114
CMOS,,,EXP-XOR-CMOS-L20,125000000.0,[],True,two-input exhaustive periodic,XOR,20.0,PTM-65nm-beta-2006,1.199773809804125,3.99073900331e-06,6.927931315020696e-16,ltspice/xor/cmos/EXP-XOR-CMOS-L20.log,ltspice/xor/cmos/EXP-XOR-CMOS-L20.cir,Validated,27.0,27.0,2.91615166855e-10,27.0,1.7360021061950002e-10,1.49783134372e-10,1.97417286867e-10,12,4.34538182704e-10,[],1.2,1.19988775253,0.000113942725875
CMOS,,,EXP-XOR-CMOS-F025,25000000.0,[],True,two-input exhaustive periodic,XOR,10.0,PTM-65nm-beta-2006,1.199788266077386,4.86815526411e-07,4.5898403367864316e-17,ltspice/xor/cmos/EXP-XOR-CMOS-F025.log,ltspice/xor/cmos/EXP-XOR-CMOS-F025.cir,Validated,27.0,27.0,1.53058389842e-10,27.0,9.42829488333e-11,8.22645417746e-11,1.06301355892e-10,12,2.26788021941e-10,[],1.2,1.19989454746,0.000106281382614
